itemLabel,jardueraLabel,sexua_edo_generoaLabel,jaiolekuaLabel,irudia,jaiotza_data
Ana Martínez de Aguilar,arte-historialari,emakumezkoa,Donostia,,1965-01-01T00:00:00Z
Ana Otero,aktore,emakumezkoa,Donostia,,1970-05-13T00:00:00Z
Ana Otero,zinema aktore,emakumezkoa,Donostia,,1970-05-13T00:00:00Z
Ana Urtxuegia,politikari,emakumezkoa,Donostia,,1952-10-09T00:00:00Z
Pilar López Júlvez,koreografo,emakumezkoa,Donostia,,1912-06-04T00:00:00Z
Andrés Nagel,eskultore,gizonezkoa,Donostia,http://commons.wikimedia.org/wiki/Special:FilePath/Nagel2017.jpg,1947-08-15T00:00:00Z
Trino Arizkorreta,futbolari,gizonezkoa,Donostia,,1902-09-01T00:00:00Z
Antonio Cortázar,arkitekto,gizonezkoa,Donostia,,1823-01-17T00:00:00Z
Antonio Vega de Seoane Etxeberria,enpresaburu,gizonezkoa,Donostia,,1887-01-07T00:00:00Z
Antonio Vega de Seoane Etxeberria,politikari,gizonezkoa,Donostia,,1887-01-07T00:00:00Z
Antonio Vega de Seoane Etxeberria,futbolari,gizonezkoa,Donostia,,1887-01-07T00:00:00Z
Antonio Vega de Seoane Etxeberria,meatze-ingeniari,gizonezkoa,Donostia,,1887-01-07T00:00:00Z
Arantza Sestayo,ilustratzaile,emakumezkoa,Donostia,http://commons.wikimedia.org/wiki/Special:FilePath/Cavacon%20Italy.jpg,1964-01-01T00:00:00Z
Arantza Sestayo,margolari,emakumezkoa,Donostia,http://commons.wikimedia.org/wiki/Special:FilePath/Cavacon%20Italy.jpg,1964-01-01T00:00:00Z
Aranzazu González,igerilari,emakumezkoa,Donostia,,1975-09-15T00:00:00Z
Arturo Cubillas,,gizonezkoa,Donostia,,1964-12-06T00:00:00Z
Balbino Sáenz,terrorista,gizonezkoa,Donostia,,1962-04-08T00:00:00Z
Beatriz Elorriaga Pisarik,politikari,emakumezkoa,Donostia,http://commons.wikimedia.org/wiki/Special:FilePath/Elorriagapisarik.jpg,1957-09-29T00:00:00Z
Begoña Amunarriz,politikari,emakumezkoa,Donostia,,1948-06-21T00:00:00Z
Benito Aizpurúa,gudari,gizonezkoa,Donostia,,1774-01-01T00:00:00Z
Bonifacio Alfonso,grabatzaile,gizonezkoa,Donostia,,1933-06-19T00:00:00Z
Bonifacio Alfonso,margolari,gizonezkoa,Donostia,,1933-06-19T00:00:00Z
Cristian Alberdi,futbolari,gizonezkoa,Donostia,,1980-04-14T00:00:00Z
Cristian Alberdi,futbolari,gizonezkoa,Donostia,,1980-08-05T00:00:00Z
Denis Itxaso,politikari,gizonezkoa,Donostia,http://commons.wikimedia.org/wiki/Special:FilePath/Denis%20Itxaso.jpg,1975-05-29T00:00:00Z
Edmundo Markuleta,komikigile,gizonezkoa,Donostia,,1923-04-06T00:00:00Z
Edmundo Markuleta,margolari,gizonezkoa,Donostia,,1923-04-06T00:00:00Z
Eduardo Iglesias,idazle,gizonezkoa,Donostia,,1952-01-01T00:00:00Z
Esther Basurto,boleibol jokalari,emakumezkoa,Donostia,http://commons.wikimedia.org/wiki/Special:FilePath/Esther%20Basurto%20-%20DSC%208403.jpg,1978-07-07T00:00:00Z
Bruno Oteiza,enpresaburu,gizonezkoa,Donostia,,1970-01-01T00:00:00Z
Bruno Oteiza,sukaldari,gizonezkoa,Donostia,,1970-01-01T00:00:00Z
Bruno Oteiza,telebista aurkezle,gizonezkoa,Donostia,,1970-01-01T00:00:00Z
Fermin Matxinbarrena,enpresaburu,gizonezkoa,Donostia,,1835-07-04T00:00:00Z
Fermin Matxinbarrena,politikari,gizonezkoa,Donostia,,1835-07-04T00:00:00Z
Theo van Doesburg,argazkilari,gizonezkoa,Utrecht,http://commons.wikimedia.org/wiki/Special:FilePath/Theo%20van%20Doesburg%20in%20Aubette.jpg,1883-08-30T00:00:00Z
Theo van Doesburg,idazle,gizonezkoa,Utrecht,http://commons.wikimedia.org/wiki/Special:FilePath/Theo%20van%20Doesburg%20in%20Aubette.jpg,1883-08-30T00:00:00Z
Theo van Doesburg,arkitekto,gizonezkoa,Utrecht,http://commons.wikimedia.org/wiki/Special:FilePath/Theo%20van%20Doesburg%20in%20Aubette.jpg,1883-08-30T00:00:00Z
Theo van Doesburg,poeta,gizonezkoa,Utrecht,http://commons.wikimedia.org/wiki/Special:FilePath/Theo%20van%20Doesburg%20in%20Aubette.jpg,1883-08-30T00:00:00Z
Theo van Doesburg,diseinatzaile grafiko,gizonezkoa,Utrecht,http://commons.wikimedia.org/wiki/Special:FilePath/Theo%20van%20Doesburg%20in%20Aubette.jpg,1883-08-30T00:00:00Z
Theo van Doesburg,margolari,gizonezkoa,Utrecht,http://commons.wikimedia.org/wiki/Special:FilePath/Theo%20van%20Doesburg%20in%20Aubette.jpg,1883-08-30T00:00:00Z
Álex Ubago,egile abeslari,gizonezkoa,Gasteiz,http://commons.wikimedia.org/wiki/Special:FilePath/AlexUbago.jpg,1981-01-29T00:00:00Z
Mikel Laboa,musikagile,gizonezkoa,Donostia,http://commons.wikimedia.org/wiki/Special:FilePath/Mikel%20Laboa%20abeslaria.jpg,1934-06-15T00:00:00Z
Mikel Laboa,abeslari,gizonezkoa,Donostia,http://commons.wikimedia.org/wiki/Special:FilePath/Mikel%20Laboa%20abeslaria.jpg,1934-06-15T00:00:00Z
Mikel Laboa,egile abeslari,gizonezkoa,Donostia,http://commons.wikimedia.org/wiki/Special:FilePath/Mikel%20Laboa%20abeslaria.jpg,1934-06-15T00:00:00Z
Mikel Laboa,gitarra-jotzaile,gizonezkoa,Donostia,http://commons.wikimedia.org/wiki/Special:FilePath/Mikel%20Laboa%20abeslaria.jpg,1934-06-15T00:00:00Z
Jorge Oteiza,arkitekto,gizonezkoa,Orio,http://commons.wikimedia.org/wiki/Special:FilePath/Apostoluen%20Frisoa%20-%20Oteiza%20errepide%20bazterrean.jpg,1908-11-07T00:00:00Z
Jorge Oteiza,poeta,gizonezkoa,Orio,http://commons.wikimedia.org/wiki/Special:FilePath/Apostoluen%20Frisoa%20-%20Oteiza%20errepide%20bazterrean.jpg,1908-11-07T00:00:00Z
Jorge Oteiza,margolari,gizonezkoa,Orio,http://commons.wikimedia.org/wiki/Special:FilePath/Apostoluen%20Frisoa%20-%20Oteiza%20errepide%20bazterrean.jpg,1908-11-07T00:00:00Z
Jorge Oteiza,eskultore,gizonezkoa,Orio,http://commons.wikimedia.org/wiki/Special:FilePath/Apostoluen%20Frisoa%20-%20Oteiza%20errepide%20bazterrean.jpg,1908-11-07T00:00:00Z
Alberto Ormaetxea,futbol entrenatzaile,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/San%20Sebasti%C3%A1n%20-%20Estadio%20de%20Anoeta%202%20%28Ormaetxea%29.jpg,1939-04-07T00:00:00Z
Alberto Ormaetxea,futbolari,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/San%20Sebasti%C3%A1n%20-%20Estadio%20de%20Anoeta%202%20%28Ormaetxea%29.jpg,1939-04-07T00:00:00Z
Josep Maria Sert,argazkilari,gizonezkoa,Bartzelona,http://commons.wikimedia.org/wiki/Special:FilePath/Ramon%20Casas%20-%20MNAC-%20Josep%20Ma.%20Sert-%20027248-D%20006396.jpg,1874-12-22T00:00:00Z
Josep Maria Sert,margolari,gizonezkoa,Bartzelona,http://commons.wikimedia.org/wiki/Special:FilePath/Ramon%20Casas%20-%20MNAC-%20Josep%20Ma.%20Sert-%20027248-D%20006396.jpg,1874-12-22T00:00:00Z
Jose Luis Alvarez Enparantza,idazle,gizonezkoa,Donostia,http://commons.wikimedia.org/wiki/Special:FilePath/Txillardegi.jpg,1929-09-27T00:00:00Z
Jose Luis Alvarez Enparantza,politikari,gizonezkoa,Donostia,http://commons.wikimedia.org/wiki/Special:FilePath/Txillardegi.jpg,1929-09-27T00:00:00Z
Jose Luis Alvarez Enparantza,katedradun,gizonezkoa,Donostia,http://commons.wikimedia.org/wiki/Special:FilePath/Txillardegi.jpg,1929-09-27T00:00:00Z
Jose Luis Alvarez Enparantza,Soziolinguistika,gizonezkoa,Donostia,http://commons.wikimedia.org/wiki/Special:FilePath/Txillardegi.jpg,1929-09-27T00:00:00Z
Jose Luis Alvarez Enparantza,hizkuntzalari,gizonezkoa,Donostia,http://commons.wikimedia.org/wiki/Special:FilePath/Txillardegi.jpg,1929-09-27T00:00:00Z
Luis Peña Gantxegi,arkitekto,gizonezkoa,Oñati,http://commons.wikimedia.org/wiki/Special:FilePath/Donostia%20Haize%20Orrazia%20Txillida%20Pe%C3%B1a.jpg,1926-03-29T00:00:00Z
Gladys del Estal Ferreño,informatikari,emakumezkoa,Caracas,http://commons.wikimedia.org/wiki/Special:FilePath/Gladys%20del%20Estal.jpg,1956-01-01T00:00:00Z
Gladys del Estal Ferreño,programatzaile,emakumezkoa,Caracas,http://commons.wikimedia.org/wiki/Special:FilePath/Gladys%20del%20Estal.jpg,1956-01-01T00:00:00Z
Gladys del Estal Ferreño,aktibista,emakumezkoa,Caracas,http://commons.wikimedia.org/wiki/Special:FilePath/Gladys%20del%20Estal.jpg,1956-01-01T00:00:00Z
Gladys del Estal Ferreño,informatikari,emakumezkoa,Caracas,http://commons.wikimedia.org/wiki/Special:FilePath/Gladys%20del%20Estal%20ZB.jpg,1956-01-01T00:00:00Z
Gladys del Estal Ferreño,programatzaile,emakumezkoa,Caracas,http://commons.wikimedia.org/wiki/Special:FilePath/Gladys%20del%20Estal%20ZB.jpg,1956-01-01T00:00:00Z
Gladys del Estal Ferreño,aktibista,emakumezkoa,Caracas,http://commons.wikimedia.org/wiki/Special:FilePath/Gladys%20del%20Estal%20ZB.jpg,1956-01-01T00:00:00Z
