itemLabel,jardueraLabel,sexua_edo_generoaLabel,jaiolekuaLabel,irudia,jaiotza_data
Jose Migel Corral,margolari,gizonezkoa,Iruñea,,1968-01-01T00:00:00Z
Jose Ramon Aranguren,politikari,gizonezkoa,Iruñea,,1938-03-14T00:00:00Z
Jose Viñes Ibarrola,idazle,gizonezkoa,Iruñea,,1898-06-18T00:00:00Z
Jose Viñes Ibarrola,mediku,gizonezkoa,Iruñea,,1898-06-18T00:00:00Z
Josetxo Azkona,idazle,gizonezkoa,Iruñea,,1953-05-01T00:00:00Z
Josu Zabala Salegi,katedradun,gizonezkoa,Iruñea,,1976-01-01T00:00:00Z
José Antonio Eslava,grabatzaile,gizonezkoa,Iruñea,,1936-09-27T00:00:00Z
José Arza,beisbol jokalari,gizonezkoa,Iruñea,,1969-07-23T00:00:00Z
Juan Antonio Urbeltz,koreografo,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/UrbeltzArgia2018.jpg,1940-10-20T00:00:00Z
Juan Antonio Urbeltz,folklorista,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/UrbeltzArgia2018.jpg,1940-10-20T00:00:00Z
Juan Sada,idazle,gizonezkoa,Iruñea,,1500-01-01T00:00:00Z
Juan Sada,matematikari,gizonezkoa,Iruñea,,1500-01-01T00:00:00Z
Karmele Saint-Martin,kazetari,emakumezkoa,Iruñea,,1895-12-18T00:00:00Z
Karmele Saint-Martin,eleberrigile,emakumezkoa,Iruñea,,1895-12-18T00:00:00Z
Karmele Saint-Martin,saiakeragile,emakumezkoa,Iruñea,,1895-12-18T00:00:00Z
Koldo Amezketa,politikari,gizonezkoa,Iruñea,,1944-02-22T00:00:00Z
Lara González,modelo,emakumezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Lara%20Gonz%C3%A1lez%202007.PNG,1986-04-14T00:00:00Z
Lara González,gimnasta erritmikoa,emakumezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Lara%20Gonz%C3%A1lez%202007.PNG,1986-04-14T00:00:00Z
Leocadio Hernández,idazle,gizonezkoa,Iruñea,,1883-01-01T00:00:00Z
Leocadio Hernández,musikagile,gizonezkoa,Iruñea,,1883-01-01T00:00:00Z
Luis Carlos León,beisbol jokalari,gizonezkoa,Iruñea,,1963-09-03T00:00:00Z
Luis Garde,idazle,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Luis%20Garde.jpg,1961-08-11T00:00:00Z
Luis Garde,filologo,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Luis%20Garde.jpg,1961-08-11T00:00:00Z
Maite Esparza,idazle,emakumezkoa,Iruñea,,1972-01-01T00:00:00Z
