itemLabel,jardueraLabel,sexua_edo_generoaLabel,jaiolekuaLabel,irudia,jaiotza_data
Izaro Abella,futbolari,gizonezkoa,Ordizia,,1996-05-16T00:00:00Z
Irene Usabiaga,txirrindulari,emakumezkoa,Ordizia,http://commons.wikimedia.org/wiki/Special:FilePath/2015%20UEC%20Track%20Elite%20European%20Championships%20388.JPG,1993-09-22T00:00:00Z
Irene Usabiaga,txirrindulari,emakumezkoa,Ordizia,http://commons.wikimedia.org/wiki/Special:FilePath/2019-08-24%20135247%20Mannheim%20Internationaler%20Gebr%C3%BCder%20Altig%20Grand%20Prix.jpeg,1993-09-22T00:00:00Z
Luis Urteaga,musikagile,gizonezkoa,Ordizia,,1882-12-05T00:00:00Z
Luis Urteaga,irakasle,gizonezkoa,Ordizia,,1882-12-05T00:00:00Z
Luis Urteaga,organista,gizonezkoa,Ordizia,,1882-12-05T00:00:00Z
Ana Usabiaga,txirrindulari,emakumezkoa,Ordizia,http://commons.wikimedia.org/wiki/Special:FilePath/2016%202017%20UCI%20Track%20World%20Cup%20Apeldoorn%20209.jpg,1990-01-19T00:00:00Z
Ana Usabiaga,pistako txirrindulari,emakumezkoa,Ordizia,http://commons.wikimedia.org/wiki/Special:FilePath/2016%202017%20UCI%20Track%20World%20Cup%20Apeldoorn%20209.jpg,1990-01-19T00:00:00Z
Ana Usabiaga,txirrindulari,emakumezkoa,Ordizia,http://commons.wikimedia.org/wiki/Special:FilePath/2019-08-24%20135318%20Mannheim%20Internationaler%20Gebr%C3%BCder%20Altig%20Grand%20Prix%201.jpeg,1990-01-19T00:00:00Z
Ana Usabiaga,pistako txirrindulari,emakumezkoa,Ordizia,http://commons.wikimedia.org/wiki/Special:FilePath/2019-08-24%20135318%20Mannheim%20Internationaler%20Gebr%C3%BCder%20Altig%20Grand%20Prix%201.jpeg,1990-01-19T00:00:00Z
Amaia Erbina,hamabosteko errugbilari,emakumezkoa,Ordizia,,1997-03-13T00:00:00Z
Nekane Balluerka,psikologo,emakumezkoa,Ordizia,http://commons.wikimedia.org/wiki/Special:FilePath/Nekane%20Balluerka%202016.jpg,1966-12-05T00:00:00Z
Nekane Balluerka,unibertsitateko irakasle,emakumezkoa,Ordizia,http://commons.wikimedia.org/wiki/Special:FilePath/Nekane%20Balluerka%202016.jpg,1966-12-05T00:00:00Z
Nekane Balluerka,psikologo,emakumezkoa,Ordizia,http://commons.wikimedia.org/wiki/Special:FilePath/Nekane%20Balluerka%202017.jpg,1966-12-05T00:00:00Z
Nekane Balluerka,unibertsitateko irakasle,emakumezkoa,Ordizia,http://commons.wikimedia.org/wiki/Special:FilePath/Nekane%20Balluerka%202017.jpg,1966-12-05T00:00:00Z
Angel Unzueta,komikigile,gizonezkoa,Ordizia,,1969-01-01T00:00:00Z
Paula Etxeberria,aktore,emakumezkoa,Ordizia,,1997-06-10T00:00:00Z
Paula Etxeberria,abeslari,emakumezkoa,Ordizia,,1997-06-10T00:00:00Z
Aitana Etxeberria,aktore,emakumezkoa,Ordizia,,1997-06-10T00:00:00Z
Aitana Etxeberria,abeslari,emakumezkoa,Ordizia,,1997-06-10T00:00:00Z
Salvador Martín,telebista aurkezle,gizonezkoa,Ordizia,,1956-07-01T00:00:00Z
Salvador Martín,kazetari,gizonezkoa,Ordizia,,1956-07-01T00:00:00Z
Xabier Crehuet,abeslari,gizonezkoa,Ordizia,,1993-01-01T00:00:00Z
Xabier Crehuet,musikari,gizonezkoa,Ordizia,,1993-01-01T00:00:00Z
Maite Goñi,katedradun,emakumezkoa,Ordizia,http://commons.wikimedia.org/wiki/Special:FilePath/MaiteGo%C3%B1i2.jpg,1967-01-01T00:00:00Z
Jesús María Pedrosa,politikari,gizonezkoa,Ordizia,,1942-12-12T00:00:00Z
Jesús María Toral,kazetari,gizonezkoa,Ordizia,,
Jesús María Toral,eleberrigile,gizonezkoa,Ordizia,,
Edurne Garmendia,irrati-esatari,emakumezkoa,Ordizia,,1972-01-01T00:00:00Z
José Sarriegui Aldanondo,margolari,gizonezkoa,Ordizia,,1911-01-01T00:00:00Z
