itemLabel,jardueraLabel,sexua_edo_generoaLabel,jaiolekuaLabel,irudia,jaiotza_data
Alfonso Maribona,orkestra zuzendari,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/ALFONSO%20MARIBONA.JPG,1962-01-01T00:00:00Z
Alfonso Maribona,piano-jotzaile,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/ALFONSO%20MARIBONA.JPG,1962-01-01T00:00:00Z
Alfonso Maribona,musikari,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/ALFONSO%20MARIBONA.JPG,1962-01-01T00:00:00Z
Alfonso Maribona,musikagile,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/GOM4880.jpg,1962-01-01T00:00:00Z
Alfonso Maribona,orkestra zuzendari,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/GOM4880.jpg,1962-01-01T00:00:00Z
Alfonso Maribona,piano-jotzaile,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/GOM4880.jpg,1962-01-01T00:00:00Z
Alfonso Maribona,musikari,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/GOM4880.jpg,1962-01-01T00:00:00Z
Alfredo Amestoy,telebista aurkezle,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Amestoy.jpg,1941-04-08T00:00:00Z
Alfredo Amestoy,kazetari,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Amestoy.jpg,1941-04-08T00:00:00Z
Alfredo García Francés,argazkilari,gizonezkoa,Bilbo,,1949-01-01T00:00:00Z
Alfredo García Francés,idazle,gizonezkoa,Bilbo,,1949-01-01T00:00:00Z
Alfredo García Francés,kazetari,gizonezkoa,Bilbo,,1949-01-01T00:00:00Z
Sabin Egilior,dokumentalgile,gizonezkoa,Bilbo,,1968-01-01T00:00:00Z
José María Cagigal,pedagogo,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Cagigal.jpg,1928-02-10T00:00:00Z
José María Cagigal,filosofo,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Cagigal.jpg,1928-02-10T00:00:00Z
José María Cagigal,dirigente deportivo,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Cagigal.jpg,1928-02-10T00:00:00Z
Antonio Etxaniz,suhiltzaile,gizonezkoa,Bilbo,,1815-01-01T00:00:00Z
Antonio Etxaniz,zurgin,gizonezkoa,Bilbo,,1815-01-01T00:00:00Z
Antonio Segura,idazle,gizonezkoa,Bilbo,,1921-08-15T00:00:00Z
Antonio Segura,botanikari,gizonezkoa,Bilbo,,1921-08-15T00:00:00Z
Antonio Gezala,margolari,gizonezkoa,Bilbo,,1889-06-11T00:00:00Z
Aquilino Gómez-Acedo,futbolari,gizonezkoa,Bilbo,,1890-01-01T00:00:00Z
Arcadio Arteaga,futbol entrenatzaile,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Arteaga.jpg,1902-12-06T00:00:00Z
Arcadio Arteaga,futbolari,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Arteaga.jpg,1902-12-06T00:00:00Z
Asunción Villamil,aktore,emakumezkoa,Bilbo,,1926-01-01T00:00:00Z
Begoña Aranguren,idazle,emakumezkoa,Bilbo,,1949-01-01T00:00:00Z
Begoña Aranguren,kazetari,emakumezkoa,Bilbo,,1949-01-01T00:00:00Z
Carmelo Angulo,diplomazialari,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Carmelo%20Angulo%202014%20%28cropped%29.jpg,1947-05-23T00:00:00Z
Carmen Larrabeiti,aktore,emakumezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Carmen%20Larrabeiti.JPG,1904-05-02T00:00:00Z
Carmen Larrabeiti,zinema aktore,emakumezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Carmen%20Larrabeiti.JPG,1904-05-02T00:00:00Z
Carmen Larrabeiti,aktore,emakumezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Carmen%20Larrabeiti.JPG,1904-06-02T00:00:00Z
Carmen Larrabeiti,zinema aktore,emakumezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Carmen%20Larrabeiti.JPG,1904-06-02T00:00:00Z
Celestino del Arenal,idazle,gizonezkoa,Bilbo,,1943-08-30T00:00:00Z
Celestino del Arenal,politologo,gizonezkoa,Bilbo,,1943-08-30T00:00:00Z
Celestino del Arenal,unibertsitateko irakasle,gizonezkoa,Bilbo,,1943-08-30T00:00:00Z
Charo Zarzalejos,kazetari,emakumezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Adolfo%20Su%C3%A1rez%20se%20re%C3%BAne%20con%20representantes%20de%20los%20medios%20de%20comunicaci%C3%B3n%20%28cropped%29.jpeg,1952-01-01T00:00:00Z
Darío Urzay,argazkilari,gizonezkoa,Bilbo,,1958-12-13T00:00:00Z
Darío Urzay,margolari,gizonezkoa,Bilbo,,1958-12-13T00:00:00Z
Darío Urzay,artista plastiko,gizonezkoa,Bilbo,,1958-12-13T00:00:00Z
Iñaki Tejada,futbol entrenatzaile,gizonezkoa,Bilbo,,1965-11-19T00:00:00Z
Iñaki Tejada,futbolari,gizonezkoa,Bilbo,,1965-11-19T00:00:00Z
Niceto Zamacois,poeta,gizonezkoa,Bilbo,,1820-03-20T00:00:00Z
Niceto Zamacois,historialari,gizonezkoa,Bilbo,,1820-03-20T00:00:00Z
Niceto Zamacois,dramagile,gizonezkoa,Bilbo,,1820-03-20T00:00:00Z
Niceto Zamacois,eleberrigile,gizonezkoa,Bilbo,,1820-03-20T00:00:00Z
Niceto Zamacois,saiakeragile,gizonezkoa,Bilbo,,1820-03-20T00:00:00Z
Manuel Marín Triana,apaiz,gizonezkoa,Bilbo,,1899-05-01T00:00:00Z
Manuel Marín Triana,poeta,gizonezkoa,Bilbo,,1899-05-01T00:00:00Z
Elena Markinez,telebista aurkezle,emakumezkoa,Bilbo,,1960-01-01T00:00:00Z
Elena Markinez,irrati-esatari,emakumezkoa,Bilbo,,1960-01-01T00:00:00Z
Elisa Sainz de Murieta,politikari,emakumezkoa,Bilbo,,1977-01-01T00:00:00Z
Elisa Sainz de Murieta,geologo,emakumezkoa,Bilbo,,1977-01-01T00:00:00Z
Ely del Valle,idazle,emakumezkoa,Bilbo,,2000-01-01T00:00:00Z
Ely del Valle,telebista aurkezle,emakumezkoa,Bilbo,,2000-01-01T00:00:00Z
Ely del Valle,kazetari,emakumezkoa,Bilbo,,2000-01-01T00:00:00Z
Emiliano Fernández de Pinedo,idazle,gizonezkoa,Bilbo,,1943-04-04T00:00:00Z
Emiliano Fernández de Pinedo,historialari,gizonezkoa,Bilbo,,1943-04-04T00:00:00Z
Emiliano Fernández de Pinedo,unibertsitateko irakasle,gizonezkoa,Bilbo,,1943-04-04T00:00:00Z
Emilio Guinea,botanikari,gizonezkoa,Bilbo,,1907-05-13T00:00:00Z
Emilio Guinea,esploratzaile,gizonezkoa,Bilbo,,1907-05-13T00:00:00Z
